Video Number,Section,Shot Type,Camera,Duration (minutes),Script
1,Intro,Talking Head,SonyZv1_ElgatoPrompter,1.5,"Welcome! Technical debt hinders speed and quality. SonarQube helps manage it. Integrate it for code analysis, debt reduction, and production-ready releases. Build a strong foundation, one clean commit at a time."
2,Intro,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Hello, I'm Rifat Erdem Sahin. With extensive IT experience, I've delivered many projects globally. At Accenture, I used SonarQube to ensure code quality and maintainability."
2,Intro,Slide Capture,Marp_1080P_OBS,0.25,"Share authentic personal experiences tackling technical debt. Gain insights from yak shaving to scalable solutions, overcoming obstacles in real-world projects."
2,Intro,Screen Share,LiveCursor_1080P_OBS,0.25,"Integrate SonarQube into workflows using AI. Ensure maintainable, high-quality code for scalable projects. Use AI to connect the dots and enhance development."
2,Intro,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Mastering these components empowers you to deliver impactful solutions. Let's dive in and make it work! ðŸŒŸ"
3,Intro,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Explore real-world technical debt challenges. Achieve daily deployments through hands-on problem-solving with SonarQube. This course uses a real project setting up a SonarQube environment for practical learning."
3,Intro,Slide Capture,Marp_1080P_OBS,0.25,"Leverage AI tools for debugging. Use AI and intuition to break down errors, iterate solutions, and refine your stack. Learn to verify with AI, rubber duck the process, and trust your intuition for better code quality."
3,Intro,Screen Share,LiveCursor_1080P_OBS,0.25,"Guide through creating a GitHub App, setting up webhooks, and configuring repository access for secure integration."
3,Intro,Talking Head,SonyZv1_ElgatoPrompter,0.5,"By the end of this course, you'll have the skills and confidence to tackle technical debt, deliver high-quality software, and thrive in real-world development environments. Let's get started! ðŸš€"
4,Intro,Talking Head,SonyZv1_ElgatoPrompter,0.5,"This course includes a bonus AI-first project where you'll integrate AI tools to set up and optimize a SonarQube environment. It's designed to sharpen your skills in AI-assisted development while ensuring top-tier quality standards."
4,Intro,Slide Capture,Marp_1080P_OBS,0.25,"Learn to use AI tools like Claude and GPT to iterate prompts, automate quality checks, and enhance your CI/CD pipeline. Prepare for real-world AI applications."
4,Intro,Screen Share,LiveCursor_1080P_OBS,0.25,"Build a SonarQube environment, integrate AI, and apply skills to improve code quality and manage technical debt. Document progress for a portfolio-ready project."
4,Intro,Talking Head,SonyZv1_ElgatoPrompter,0.5,"By the end, you'll not only master AI-assisted development but also have a showcase-worthy project to demonstrate your expertise. Let's innovate and build together! ðŸ¤–âœ¨"
5,Intro,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Creating a portfolio is key for IT pros. Integrating SonarQube into GitHub projects shows commitment to code quality and technical debt management, highlighting expertise in scalable apps."
5,Intro,Slide Capture,Marp_1080P_OBS,0.25,"Focus on creating a professional presence showcasing technical debt management skills. Highlight expertise in building scalable, customer-focused applications."
5,Intro,Screen Share,LiveCursor_1080P_OBS,0.25,"Guide through creating professional profiles, setting up private projects, and documenting your technical debt management journey for a strong portfolio."
5,Intro,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Perfect! You've learned to balance professional presence and technical debt management. Showcase your skills and commitment to quality professionally."
1,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Transform infrastructure debt into a powerful development setup using GitHub Codespaces. Learn how to manage technical debt effectively with SonarQube in your SDLC."
1,Lesson 1,Slide Capture,Marp_1080P_OBS,0.25,"First objective: set up and configure GitHub Codespaces for our development environment."
1,Lesson 1,Screen Share,LiveCursor_1080P_OBS,0.25,"Choose your environment, set up Codespaces, and configure SonarQube step-by-step. Document the process for effective rebuilding and troubleshooting."
1,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Great! Our development environment is ready using GitHub Codespaces. Next, we'll focus on securing our setup."
2,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Security is crucial. Secure your SonarQube instance and configure your environment properly."
2,Lesson 1,Slide Capture,Marp_1080P_OBS,0.25,"Focus on configuring secure access and environment settings for SonarQube."
2,Lesson 1,Screen Share,LiveCursor_1080P_OBS,0.25,"Demonstrate setting admin password, configuring environment variables, and implementing security settings."
2,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Perfect! Our SonarQube instance is now secure and ready for use."
3,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Let's integrate SonarQube with GitHub securely using app authentication and webhooks."
3,Lesson 1,Slide Capture,Marp_1080P_OBS,0.25,"Implement secure GitHub integration with SonarQube. Create a secure connection between SonarQube and GitHub using app authentication and webhooks."
3,Lesson 1,Screen Share,LiveCursor_1080P_OBS,0.25,"Guide through creating a GitHub App, setting up webhooks, and configuring repository access for secure integration."
3,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Excellent! We've established a secure connection between SonarQube and GitHub using app authentication and webhooks."
4,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Now we'll set up automated code quality checks using GitHub Actions."
4,Lesson 1,Slide Capture,Marp_1080P_OBS,0.25,"Configure GitHub Actions to scan code on every commit using a simple YAML workflow. Use AI to generate or review YAML for clarity."
4,Lesson 1,Screen Share,LiveCursor_1080P_OBS,0.25,"Demonstrate setting up and using AI tools for debugging and testing. Leverage AI to break down errors, iterate solutions, and refine your stack for better code quality."
4,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Perfect! Automated code quality checks are now in place with GitHub Actions."
5,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Explore how to optimize GitHub usage and manage costs effectively. Understand costs of agents and optimize spending for efficient workflows."
5,Lesson 1,Slide Capture,Marp_1080P_OBS,0.25,"Learn to optimize GitHub resources and understand cost implications. Focus on cost-effective workflows, wisely using resources like Codespaces agents while keeping costs in check."
5,Lesson 1,Screen Share,LiveCursor_1080P_OBS,0.25,"Show how to review usage, optimize workflows, and implement cost-saving measures to manage costs effectively when using GitHub Actions and Codespaces."
5,Lesson 1,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Great! You now have the knowledge to optimize GitHub resources and costs."
1,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Build your professional presence while managing technical debt. Use SonarQube in GitHub projects to showcase commitment to quality and build a strong portfolio."
1,Lesson 2,Slide Capture,Marp_1080P_OBS,0.25,"Focus on creating a professional presence showcasing technical debt management skills. Highlight expertise in building scalable, customer-focused applications."
1,Lesson 2,Screen Share,LiveCursor_1080P_OBS,0.25,"Guide through creating professional profiles, setting up private projects, and documenting your technical debt management journey for a strong portfolio."
1,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Perfect! You've learned to balance professional presence and technical debt management. Showcase your skills and commitment to quality professionally."
2,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Learn effective strategies for addressing technical debt. Use SonarQube reports to identify, prioritize, and manage issues like vulnerabilities and code smells. Proactive management ensures agility."
2,Lesson 2,Slide Capture,Marp_1080P_OBS,0.25,"Focus on implementing strategies to manage and reduce technical debt. Use SonarQube to track vulnerabilities, code smells, and risk, prioritizing fixes for continuous improvement and agility."
2,Lesson 2,Screen Share,LiveCursor_1080P_OBS,0.25,"Identify, prioritize, and fix technical debt using SonarQube reports. Manage vulnerabilities, code smells, and risk for improved quality and project agility."
2,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Great! You've learned effective strategies to manage and reduce technical debt using SonarQube, improving code quality and project agility."
3,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Explore AI tools and debugging. Leverage AI and intuition for smart testing and better code quality."
3,Lesson 2,Slide Capture,Marp_1080P_OBS,0.25,"Leverage AI tools for debugging. Use AI and intuition to break down errors, iterate solutions, and refine your stack. Learn to verify with AI, rubber duck the process, and trust your intuition for better code quality."
3,Lesson 2,Screen Share,LiveCursor_1080P_OBS,0.25,"Demonstrate setting up and using AI tools for debugging and testing. Leverage AI to break down errors, iterate solutions, and refine your stack for better code quality."
3,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Perfect! You've learned to leverage AI tools and debugging. Embrace errors as learning, trust your intuition, and rubber duck the process to refine your stack."
4,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Learn to troubleshoot and recover SonarQube configurations. Embrace errors as learning opportunities. Use AI to break down issues and debug. Document changes and refine your setup for reliability."
4,Lesson 2,Slide Capture,Marp_1080P_OBS,0.25,"Embrace errors as learning tools. Use AI to break down issues like memory problems. Debugging builds familiarity with system configurations. Document each issue, iterate solutions, and refine your stack. Let AI guide debugging and learning from hurdles."
4,Lesson 2,Screen Share,LiveCursor_1080P_OBS,0.25,"Monitor accuracy, manage uptime, and optimize costs for SonarQube. Understand trade-offs with paid services. Ensure stable and cost-effective code quality analysis."
4,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Great! You've learned to troubleshoot and recover SonarQube configurations. Use HTOP and documented steps to keep your system stable through resets."
5,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Learn advanced SonarQube settings. Configure external ports, project keys, and commit triggers for optimal performance and reliability."
5,Lesson 2,Slide Capture,Marp_1080P_OBS,0.25,"Configure advanced SonarQube settings for optimal performance. Manage external access, ports, project keys, and commit triggers. Document changes and store configurations securely."
5,Lesson 2,Screen Share,LiveCursor_1080P_OBS,0.25,"Guide through configuring external ports, project keys, and commit triggers. Manage dynamic URLs, callbacks, and environment variables for smooth integration and stability."
5,Lesson 2,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Perfect! You've learned advanced SonarQube configuration. Managing external ports, project keys, and commit triggers ensures optimal performance and stability."
1,Lesson 3,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Learn to improve code coverage and fix common failures. Use SonarQube for static analysis to identify and address issues."
1,Lesson 3,Slide Capture,Marp_1080P_OBS,0.25,"Improve code coverage and fix common failures. SonarQube highlights covered lines, test failures, and gaps, helping identify and fix issues for a more reliable codebase."
1,Lesson 3,Screen Share,LiveCursor_1080P_OBS,0.25,"Analyze coverage, identify failures, and implement fixes using SonarQube. Enhance test coverage by addressing gaps and improving robustness for a reliable codebase."
1,Lesson 3,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Great! You've learned to improve coverage and fix failures. Achieving a green status is the first step to a healthy codebase. Keep improving quality and reduce technical debt."
2,Lesson 3,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Let's learn how to balance feature development with technical debt management."
2,Lesson 3,Slide Capture,Marp_1080P_OBS,0.25,"Balance feature development and technical debt. Monitor vulnerabilities, code smells, and debt with SonarQube. Ensure agility in your SDLC by proactively addressing issues."
2,Lesson 3,Screen Share,LiveCursor_1080P_OBS,0.25,"Track features and monitor debt with SonarQube. Maintain balance by identifying and managing vulnerabilities and code smells throughout the development process to ensure agility."
2,Lesson 3,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Perfect! You've learned to balance feature development with technical debt. Managing debt proactively with SonarQube ensures agility and scalability."
3,Lesson 3,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Learn to manage SonarQube accuracy and availability. Handle false positives and understand the cost of uptime to ensure reliable code quality analysis."
3,Lesson 3,Slide Capture,Marp_1080P_OBS,0.25,"Manage SonarQube accuracy and availability. Monitor accuracy, manage uptime, and optimize costs. Understand trade-offs between paid services and technical debt."
3,Lesson 3,Screen Share,LiveCursor_1080P_OBS,0.25,"Monitor accuracy, manage uptime, and optimize costs for SonarQube. Understand trade-offs with paid services. Ensure stable and cost-effective code quality analysis."
3,Lesson 3,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Great! You've learned to manage SonarQube accuracy and availability. Monitoring accuracy, uptime, and costs ensures reliable code quality analysis."
1,Closure,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Conclude by applying what we've learned to real-world scenarios. Build a healthy release pipeline for daily deployments, managing technical debt effectively."
1,Closure,Slide Capture,Marp_1080P_OBS,0.25,"Review key concepts and practical applications. Apply knowledge to real-world scenarios. Build a healthy release pipeline and manage technical debt for daily deployments."
1,Closure,Screen Share,LiveCursor_1080P_OBS,0.25,"Apply knowledge to real-world scenarios. Monitor code quality, understand failures, fix fast, and deliver continuously. Doing the work now equips you with tools for a healthy release pipeline."
1,Closure,Talking Head,SonyZv1_ElgatoPrompter,0.25,"Congratulations! You're now ready to apply SonarQube in real-world scenarios." 